text,intent,split,family
bỏ trang bị cuộn băng,UNEQUIP_ITEM,train,template-2
bỏ trang bị chìa khóa,UNEQUIP_ITEM,train,template-2
bỏ trang bị bộ sơ cứu,UNEQUIP_ITEM,train,template-2
bỏ trang bị viên pin,UNEQUIP_ITEM,train,template-2
bỏ trang bị mặt nạ,UNEQUIP_ITEM,train,template-2
cất chai nước vào nhẫn,OMNIVAULT_STORE,train,template-0
cất đèn pin vào nhẫn,OMNIVAULT_STORE,train,template-0
cất khẩu súng vào nhẫn,OMNIVAULT_STORE,train,template-0
cất cuộn băng vào nhẫn,OMNIVAULT_STORE,train,template-0
cất chìa khóa vào nhẫn,OMNIVAULT_STORE,train,template-0
cất bộ sơ cứu vào nhẫn,OMNIVAULT_STORE,train,template-0
cất viên pin vào nhẫn,OMNIVAULT_STORE,train,template-0
cất mặt nạ vào nhẫn,OMNIVAULT_STORE,train,template-0
bỏ chai nước trong Omnivault,OMNIVAULT_STORE,train,template-1
bỏ đèn pin trong Omnivault,OMNIVAULT_STORE,train,template-1
bỏ khẩu súng trong Omnivault,OMNIVAULT_STORE,train,template-1
bỏ cuộn băng trong Omnivault,OMNIVAULT_STORE,train,template-1
bỏ chìa khóa trong Omnivault,OMNIVAULT_STORE,train,template-1
bỏ bộ sơ cứu trong Omnivault,OMNIVAULT_STORE,train,template-1
bỏ viên pin trong Omnivault,OMNIVAULT_STORE,train,template-1
bỏ mặt nạ trong Omnivault,OMNIVAULT_STORE,train,template-1
lưu chai nước vào Nhẫn Vạn Tàng,OMNIVAULT_STORE,train,template-2
lưu đèn pin vào Nhẫn Vạn Tàng,OMNIVAULT_STORE,train,template-2
lưu khẩu súng vào Nhẫn Vạn Tàng,OMNIVAULT_STORE,train,template-2
lưu cuộn băng vào Nhẫn Vạn Tàng,OMNIVAULT_STORE,train,template-2
lưu chìa khóa vào Nhẫn Vạn Tàng,OMNIVAULT_STORE,train,template-2
lưu bộ sơ cứu vào Nhẫn Vạn Tàng,OMNIVAULT_STORE,train,template-2
lưu viên pin vào Nhẫn Vạn Tàng,OMNIVAULT_STORE,train,template-2
lưu mặt nạ vào Nhẫn Vạn Tàng,OMNIVAULT_STORE,train,template-2
lấy chai nước ra khỏi nhẫn,OMNIVAULT_WITHDRAW,train,template-0
lấy đèn pin ra khỏi nhẫn,OMNIVAULT_WITHDRAW,train,template-0
lấy khẩu súng ra khỏi nhẫn,OMNIVAULT_WITHDRAW,train,template-0
lấy cuộn băng ra khỏi nhẫn,OMNIVAULT_WITHDRAW,train,template-0
lấy chìa khóa ra khỏi nhẫn,OMNIVAULT_WITHDRAW,train,template-0
lấy bộ sơ cứu ra khỏi nhẫn,OMNIVAULT_WITHDRAW,train,template-0
lấy viên pin ra khỏi nhẫn,OMNIVAULT_WITHDRAW,train,template-0
lấy mặt nạ ra khỏi nhẫn,OMNIVAULT_WITHDRAW,train,template-0
rút chai nước từ Omnivault,OMNIVAULT_WITHDRAW,train,template-1
rút đèn pin từ Omnivault,OMNIVAULT_WITHDRAW,train,template-1
rút khẩu súng từ Omnivault,OMNIVAULT_WITHDRAW,train,template-1
rút cuộn băng từ Omnivault,OMNIVAULT_WITHDRAW,train,template-1
rút chìa khóa từ Omnivault,OMNIVAULT_WITHDRAW,train,template-1
rút bộ sơ cứu từ Omnivault,OMNIVAULT_WITHDRAW,train,template-1
rút viên pin từ Omnivault,OMNIVAULT_WITHDRAW,train,template-1
rút mặt nạ từ Omnivault,OMNIVAULT_WITHDRAW,train,template-1
triệu hồi chai nước từ kho,OMNIVAULT_WITHDRAW,train,template-2
triệu hồi đèn pin từ kho,OMNIVAULT_WITHDRAW,train,template-2
triệu hồi khẩu súng từ kho,OMNIVAULT_WITHDRAW,train,template-2
triệu hồi cuộn băng từ kho,OMNIVAULT_WITHDRAW,train,template-2
triệu hồi chìa khóa từ kho,OMNIVAULT_WITHDRAW,train,template-2
triệu hồi bộ sơ cứu từ kho,OMNIVAULT_WITHDRAW,train,template-2
triệu hồi viên pin từ kho,OMNIVAULT_WITHDRAW,train,template-2
triệu hồi mặt nạ từ kho,OMNIVAULT_WITHDRAW,train,template-2
quét chai nước,OMNIVAULT_SCAN,train,template-0
quét đèn pin,OMNIVAULT_SCAN,train,template-0
quét khẩu súng,OMNIVAULT_SCAN,train,template-0
quét cuộn băng,OMNIVAULT_SCAN,train,template-0
quét chìa khóa,OMNIVAULT_SCAN,train,template-0
quét bộ sơ cứu,OMNIVAULT_SCAN,train,template-0
quét viên pin,OMNIVAULT_SCAN,train,template-0
quét mặt nạ,OMNIVAULT_SCAN,train,template-0
scan chai nước,OMNIVAULT_SCAN,train,template-1
scan đèn pin,OMNIVAULT_SCAN,train,template-1
scan khẩu súng,OMNIVAULT_SCAN,train,template-1
scan cuộn băng,OMNIVAULT_SCAN,train,template-1
scan chìa khóa,OMNIVAULT_SCAN,train,template-1
scan bộ sơ cứu,OMNIVAULT_SCAN,train,template-1
scan viên pin,OMNIVAULT_SCAN,train,template-1
scan mặt nạ,OMNIVAULT_SCAN,train,template-1
nhẫn quét chai nước,OMNIVAULT_SCAN,train,template-2
nhẫn quét đèn pin,OMNIVAULT_SCAN,train,template-2
nhẫn quét khẩu súng,OMNIVAULT_SCAN,train,template-2
nhẫn quét cuộn băng,OMNIVAULT_SCAN,train,template-2
nhẫn quét chìa khóa,OMNIVAULT_SCAN,train,template-2
nhẫn quét bộ sơ cứu,OMNIVAULT_SCAN,train,template-2
nhẫn quét viên pin,OMNIVAULT_SCAN,train,template-2
nhẫn quét mặt nạ,OMNIVAULT_SCAN,train,template-2
sao chép chai nước,OMNIVAULT_COPY,train,template-0
sao chép đèn pin,OMNIVAULT_COPY,train,template-0
sao chép khẩu súng,OMNIVAULT_COPY,train,template-0
sao chép cuộn băng,OMNIVAULT_COPY,train,template-0
sao chép chìa khóa,OMNIVAULT_COPY,train,template-0
sao chép bộ sơ cứu,OMNIVAULT_COPY,train,template-0
sao chép viên pin,OMNIVAULT_COPY,train,template-0
sao chép mặt nạ,OMNIVAULT_COPY,train,template-0
copy chai nước,OMNIVAULT_COPY,train,template-1
copy đèn pin,OMNIVAULT_COPY,train,template-1
copy khẩu súng,OMNIVAULT_COPY,train,template-1
copy cuộn băng,OMNIVAULT_COPY,train,template-1
copy chìa khóa,OMNIVAULT_COPY,train,template-1
copy bộ sơ cứu,OMNIVAULT_COPY,train,template-1
copy viên pin,OMNIVAULT_COPY,train,template-1
copy mặt nạ,OMNIVAULT_COPY,train,template-1
nhân bản chai nước,OMNIVAULT_COPY,train,template-2
nhân bản đèn pin,OMNIVAULT_COPY,train,template-2
nhân bản khẩu súng,OMNIVAULT_COPY,train,template-2
nhân bản cuộn băng,OMNIVAULT_COPY,train,template-2
nhân bản chìa khóa,OMNIVAULT_COPY,train,template-2
nhân bản bộ sơ cứu,OMNIVAULT_COPY,train,template-2
nhân bản viên pin,OMNIVAULT_COPY,train,template-2
nhân bản mặt nạ,OMNIVAULT_COPY,train,template-2
hoàn nguyên chai nước,OMNIVAULT_RESTORE,train,template-0
hoàn nguyên đèn pin,OMNIVAULT_RESTORE,train,template-0
hoàn nguyên khẩu súng,OMNIVAULT_RESTORE,train,template-0
hoàn nguyên cuộn băng,OMNIVAULT_RESTORE,train,template-0
hoàn nguyên chìa khóa,OMNIVAULT_RESTORE,train,template-0
hoàn nguyên bộ sơ cứu,OMNIVAULT_RESTORE,train,template-0
hoàn nguyên viên pin,OMNIVAULT_RESTORE,train,template-0
hoàn nguyên mặt nạ,OMNIVAULT_RESTORE,train,template-0
restore chai nước,OMNIVAULT_RESTORE,train,template-1
restore đèn pin,OMNIVAULT_RESTORE,train,template-1
restore khẩu súng,OMNIVAULT_RESTORE,train,template-1
restore cuộn băng,OMNIVAULT_RESTORE,train,template-1
restore chìa khóa,OMNIVAULT_RESTORE,train,template-1
restore bộ sơ cứu,OMNIVAULT_RESTORE,train,template-1
restore viên pin,OMNIVAULT_RESTORE,train,template-1
restore mặt nạ,OMNIVAULT_RESTORE,train,template-1
khôi phục chai nước về trạng thái tốt nhất,OMNIVAULT_RESTORE,train,template-2
khôi phục đèn pin về trạng thái tốt nhất,OMNIVAULT_RESTORE,train,template-2
khôi phục khẩu súng về trạng thái tốt nhất,OMNIVAULT_RESTORE,train,template-2
khôi phục cuộn băng về trạng thái tốt nhất,OMNIVAULT_RESTORE,train,template-2
khôi phục chìa khóa về trạng thái tốt nhất,OMNIVAULT_RESTORE,train,template-2
khôi phục bộ sơ cứu về trạng thái tốt nhất,OMNIVAULT_RESTORE,train,template-2
khôi phục viên pin về trạng thái tốt nhất,OMNIVAULT_RESTORE,train,template-2
khôi phục mặt nạ về trạng thái tốt nhất,OMNIVAULT_RESTORE,train,template-2
xem inventory,INVENTORY_QUERY,train,manual-0
kiểm tra túi đồ,INVENTORY_QUERY,train,manual-1
kho đồ hiện có gì,INVENTORY_QUERY,train,manual-2
Kai đang mang những gì,INVENTORY_QUERY,train,manual-3
mở danh sách vật phẩm,INVENTORY_QUERY,train,manual-4
cho tôi xem đồ của Kai,INVENTORY_QUERY,train,manual-5
inventory của Kai,INVENTORY_QUERY,train,manual-6
hiện vật phẩm đang sở hữu,INVENTORY_QUERY,train,manual-7
xem hành trang,INVENTORY_QUERY,train,manual-8
kiểm kê đồ đang có,INVENTORY_QUERY,train,manual-9
Iris vào party,PARTY_JOIN_REQUEST,train,manual-0
cho Syvial gia nhập đội,PARTY_JOIN_REQUEST,train,manual-1
mời Iris tham gia nhóm,PARTY_JOIN_REQUEST,train,manual-2
Iris hãy đi cùng Kai,PARTY_JOIN_REQUEST,train,manual-3
thêm Iris vào party,PARTY_JOIN_REQUEST,train,manual-4
Syvial nhập đội,PARTY_JOIN_REQUEST,train,manual-5
mời cô ấy làm đồng đội,PARTY_JOIN_REQUEST,train,manual-6
cho Iris theo nhóm,PARTY_JOIN_REQUEST,train,manual-7
Iris tham gia party,PARTY_JOIN_REQUEST,train,manual-8
đề nghị Syvial gia nhập,PARTY_JOIN_REQUEST,train,manual-9
Iris rời party,PARTY_REMOVE,train,manual-0
loại Syvial khỏi đội,PARTY_REMOVE,train,manual-1
đuổi người đó khỏi nhóm,PARTY_REMOVE,train,manual-2
xóa Iris khỏi party,PARTY_REMOVE,train,manual-3
cho Syvial rời đội,PARTY_REMOVE,train,manual-4
tách Iris khỏi nhóm,PARTY_REMOVE,train,manual-5
Iris không còn trong party,PARTY_REMOVE,train,manual-6
loại cô ấy khỏi đội hình,PARTY_REMOVE,train,manual-7
yêu cầu Iris rời nhóm,PARTY_REMOVE,train,manual-8
bỏ Syvial khỏi party,PARTY_REMOVE,train,manual-9
party hiện có ai,PARTY_QUERY,train,manual-0
xem đội hình,PARTY_QUERY,train,manual-1
kiểm tra nhóm hiện tại,PARTY_QUERY,train,manual-2
ai đang đi cùng Kai,PARTY_QUERY,train,manual-3
danh sách thành viên party,PARTY_QUERY,train,manual-4
đội còn những ai,PARTY_QUERY,train,manual-5
mở party,PARTY_QUERY,train,manual-6
cho xem các thành viên,PARTY_QUERY,train,manual-7
nhóm của Kai gồm ai,PARTY_QUERY,train,manual-8
kiểm tra đồng đội,PARTY_QUERY,train,manual-9
xem thông tin Iris,CHARACTER_QUERY,train,manual-0
Kai hiện ra sao,CHARACTER_QUERY,train,manual-1
kiểm tra nhân vật Syvial,CHARACTER_QUERY,train,manual-2
mở hồ sơ Kai,CHARACTER_QUERY,train,manual-3
cho xem chi tiết Iris,CHARACTER_QUERY,train,manual-4
thông tin nhân vật hiện tại,CHARACTER_QUERY,train,manual-5
xem trạng thái nhân vật Kai,CHARACTER_QUERY,train,manual-6
Iris là ai,CHARACTER_QUERY,train,manual-7
kiểm tra hồ sơ Syvial,CHARACTER_QUERY,train,manual-8
mở character detail,CHARACTER_QUERY,train,manual-9
xem status của Kai,STATUS_QUERY,train,manual-0
Iris đang bị trạng thái gì,STATUS_QUERY,train,manual-1
kiểm tra tình trạng hiện tại,STATUS_QUERY,train,manual-2
Kai có hiệu ứng nào,STATUS_QUERY,train,manual-3
xem thương tích của Iris,STATUS_QUERY,train,manual-4
mở bảng status,STATUS_QUERY,train,manual-5
tình trạng Kai thế nào,STATUS_QUERY,train,manual-6
kiểm tra hiệu ứng trạng thái,STATUS_QUERY,train,manual-7
Kai có bị thương không,STATUS_QUERY,train,manual-8
hiện status effects,STATUS_QUERY,train,manual-9
gom chiếc hộp lên,PICKUP_ITEM,train,paraphrase-0
Kai cúi nhặt món đồ,PICKUP_ITEM,train,paraphrase-1
cầm lấy vật trước mặt,PICKUP_ITEM,train,paraphrase-2
nhấc bình nước khỏi nền,PICKUP_ITEM,train,paraphrase-3
thu món đồ dưới đất,PICKUP_ITEM,train,paraphrase-4
gom radio khỏi mặt đất,PICKUP_ITEM,train,paraphrase-5
nhặt radio nằm trên sàn,PICKUP_ITEM,train,paraphrase-6
đặt chai xuống nền,DROP_ITEM,train,paraphrase-0
buông món đồ đang cầm,DROP_ITEM,train,paraphrase-1
để vật đó lại,DROP_ITEM,train,paraphrase-2
Kai đặt khẩu súng xuống,DROP_ITEM,train,paraphrase-3
thả tay khỏi chiếc hộp,DROP_ITEM,train,paraphrase-4
Kai để chai rỗng xuống,DROP_ITEM,train,paraphrase-5
đặt vật lại tại chỗ,DROP_ITEM,train,paraphrase-6
bật chiếc radio lên,USE_ITEM,train,paraphrase-0
Kai bật đèn pin,USE_ITEM,train,paraphrase-1
mở radio để sử dụng,USE_ITEM,train,paraphrase-2
uống một ngụm Almond Water,USE_ITEM,train,paraphrase-3
áp dụng bộ cứu thương lên vết thương,USE_ITEM,train,paraphrase-4
mở và dùng vật phẩm,USE_ITEM,train,paraphrase-5
kích hoạt công cụ đang cầm,USE_ITEM,train,paraphrase-6
chia Iris một chai,TRANSFER_ITEM,train,paraphrase-0
giao radio sang tay Syvial,TRANSFER_ITEM,train,paraphrase-1
chuyển vật đó cho cô ấy,TRANSFER_ITEM,train,paraphrase-2
đặt viên pin vào tay Iris,TRANSFER_ITEM,train,paraphrase-3
Kai giao món đồ cho đồng đội,TRANSFER_ITEM,train,paraphrase-4
rút súng cầm sẵn,EQUIP_ITEM,train,paraphrase-0
mang mặt nạ bảo hộ,EQUIP_ITEM,train,paraphrase-1
lắp dao vào ô vũ khí,EQUIP_ITEM,train,paraphrase-2
đưa radio vào slot trang bị,EQUIP_ITEM,train,paraphrase-3
Kai cầm vũ khí trong tay,EQUIP_ITEM,train,paraphrase-4
hạ súng và cất khỏi tay,UNEQUIP_ITEM,train,paraphrase-0
gỡ mặt nạ đang đeo,UNEQUIP_ITEM,train,paraphrase-1
tháo vật khỏi ô vũ khí,UNEQUIP_ITEM,train,paraphrase-2
Kai bỏ vũ khí đang cầm,UNEQUIP_ITEM,train,paraphrase-3
cất món đang trang bị,UNEQUIP_ITEM,train,paraphrase-4
Nhẫn Vạn Tàng thu radio vào kho,OMNIVAULT_STORE,train,paraphrase-0
cho món đó biến vào Omnivault,OMNIVAULT_STORE,train,paraphrase-1
đưa vật vào không gian nhẫn,OMNIVAULT_STORE,train,paraphrase-2
Omnivault cất giữ chiếc hộp,OMNIVAULT_STORE,train,paraphrase-3
Kai chuyển vật sở hữu vào Nhẫn Vạn Tàng,OMNIVAULT_STORE,train,paraphrase-4
gọi radio từ Nhẫn Vạn Tàng ra,OMNIVAULT_WITHDRAW,train,paraphrase-0
lấy lại món vừa cất trong Omnivault,OMNIVAULT_WITHDRAW,train,paraphrase-1
cho vật xuất hiện từ kho nhẫn,OMNIVAULT_WITHDRAW,train,paraphrase-2
nhẫn triệu hồi món đã lưu,OMNIVAULT_WITHDRAW,train,paraphrase-3
Kai đưa vật lưu trữ trở lại tay,OMNIVAULT_WITHDRAW,train,paraphrase-4
ghi mẫu radio vào scan slot,OMNIVAULT_SCAN,train,paraphrase-0
Omnivault đọc mẫu vật thể,OMNIVAULT_SCAN,train,paraphrase-1
chiếu luồng quét lên kim loại,OMNIVAULT_SCAN,train,paraphrase-2
nhẫn ghi nhận cấu trúc vật,OMNIVAULT_SCAN,train,paraphrase-3
tạo template từ vật gốc,OMNIVAULT_SCAN,train,paraphrase-4
tạo bản thứ hai từ mẫu nhẫn,OMNIVAULT_COPY,train,paraphrase-0
sinh thêm bản sao radio,OMNIVAULT_COPY,train,paraphrase-1
Omnivault dựng lại hai bản,OMNIVAULT_COPY,train,paraphrase-2
nhân thêm vật từ scan slot,OMNIVAULT_COPY,train,paraphrase-3
tạo một copy từ template,OMNIVAULT_COPY,train,paraphrase-4
đưa radio về trạng thái nguyên vẹn,OMNIVAULT_RESTORE,train,paraphrase-0
nhẫn phục hồi chai móp,OMNIVAULT_RESTORE,train,paraphrase-1
trả vật hỏng về tình trạng tốt nhất,OMNIVAULT_RESTORE,train,paraphrase-2
sửa vật thể bằng Hoàn nguyên,OMNIVAULT_RESTORE,train,paraphrase-3
khôi phục trạng thái tốt nhất từng có,OMNIVAULT_RESTORE,train,paraphrase-4
Kai còn sở hữu món nào,INVENTORY_QUERY,train,paraphrase-0
liệt kê hành trang hiện giờ,INVENTORY_QUERY,train,paraphrase-1
trong túi có bao nhiêu thứ,INVENTORY_QUERY,train,paraphrase-2
cho biết đồ đang mang,INVENTORY_QUERY,train,paraphrase-3
mở danh sách tài sản của Kai,INVENTORY_QUERY,train,paraphrase-4
đề nghị Iris đồng hành,PARTY_JOIN_REQUEST,train,paraphrase-0
kết nạp Syvial làm thành viên,PARTY_JOIN_REQUEST,train,paraphrase-1
mời cô ấy đi chung đội,PARTY_JOIN_REQUEST,train,paraphrase-2
cho Iris trở thành đồng đội,PARTY_JOIN_REQUEST,train,paraphrase-3
yêu cầu Syvial theo cùng,PARTY_JOIN_REQUEST,train,paraphrase-4
yêu cầu Iris tách khỏi đội hình,PARTY_REMOVE,train,paraphrase-0
cho Syvial ngừng đồng hành,PARTY_REMOVE,train,paraphrase-1
gạch cô ấy khỏi danh sách nhóm,PARTY_REMOVE,train,paraphrase-2
kết thúc việc Iris đi cùng,PARTY_REMOVE,train,paraphrase-3
đưa Syvial ra khỏi đội hình,PARTY_REMOVE,train,paraphrase-4
những người đang đồng hành,PARTY_QUERY,train,paraphrase-0
đội hình bốn người ra sao,PARTY_QUERY,train,paraphrase-1
liệt kê đồng đội bên cạnh Kai,PARTY_QUERY,train,paraphrase-2
ai là thành viên hiện tại,PARTY_QUERY,train,paraphrase-3
cho biết nhóm đang gồm những ai,PARTY_QUERY,train,paraphrase-4
mở trang chi tiết Iris,CHARACTER_QUERY,train,paraphrase-0
cho biết hồ sơ Kai,CHARACTER_QUERY,train,paraphrase-1
xem dữ liệu nhân vật đang chọn,CHARACTER_QUERY,train,paraphrase-2
hiện character profile,CHARACTER_QUERY,train,paraphrase-3
đọc thông tin riêng của Syvial,CHARACTER_QUERY,train,paraphrase-4
liệt kê hiệu ứng tác động lên Iris,STATUS_QUERY,train,paraphrase-0
tình trạng cơ thể Kai,STATUS_QUERY,train,paraphrase-1
mở phần thương tích và trạng thái,STATUS_QUERY,train,paraphrase-2
xem các status effect hiện hành,STATUS_QUERY,train,paraphrase-3
Kai đang chịu ảnh hưởng gì,STATUS_QUERY,train,paraphrase-4
Kai nhìn Iris lấy chai nước,NO_ACTION,train,hard-negative-0
Kai nhớ lần trước mình bỏ súng vào nhẫn,NO_ACTION,train,hard-negative-1
